day2024,temp_warming,temp_warming_noise,temp_warming_noise_extreme,temp_warming_noise_extreme_inertia,temp_warming_noise_extreme_inertia_currents
1,8.05582,7.90880,6.00777,6.56331,6.67219
2,8.04191,8.02504,5.78318,6.36118,6.26655
3,8.02840,8.42691,9.94201,10.10412,10.25579
4,8.01526,8.47646,8.47646,8.78513,8.87641
5,8.00243,7.90745,7.90745,8.27302,8.24020
6,7.98988,6.63795,6.63795,7.13047,7.25561
7,7.97756,8.09297,8.09297,8.43999,8.63104
8,7.96543,7.24054,7.24054,7.67280,7.69937
9,7.95346,7.78193,7.78193,8.16005,8.15444
10,7.94160,8.28586,8.28586,8.61359,8.75069
11,7.92983,8.27019,8.27019,8.59949,8.44613
12,7.91812,7.72149,9.39552,9.61228,9.67815
13,7.90642,7.03369,4.94448,5.60635,5.62728
14,7.89473,8.15875,11.14434,11.18622,11.32487
15,7.88300,7.73412,7.73412,8.11702,8.15964
16,7.87122,7.44009,7.44009,7.85239,8.01834
17,7.85937,7.01351,7.01351,7.46847,7.40339
18,7.84742,7.50065,7.50065,7.90690,7.93877
19,7.83536,7.59676,7.59676,7.99340,8.13705
20,7.82318,7.69196,7.69196,8.07908,8.27454
21,7.81086,8.15495,8.15495,8.49577,8.48650
22,7.79840,7.50951,7.50951,7.91487,7.95639
23,7.78578,7.77911,7.77911,8.15751,8.03814
24,7.77300,7.57875,7.57875,7.97719,8.12478
25,7.76006,7.26842,7.26842,7.69789,7.78290
26,7.74696,7.49767,7.49767,7.90422,7.92462
27,7.73371,7.40546,7.40546,7.82123,8.01157
28,7.72029,8.35301,9.35411,9.57501,9.63614
29,7.70673,7.59912,8.62371,8.91766,8.87654
30,7.69304,7.40706,8.77878,9.05722,8.91528
31,7.67921,7.76907,7.76907,8.14848,8.31882
32,7.66528,8.85293,8.85293,9.12395,9.20439
33,7.65125,8.21133,8.21133,8.54651,8.39227
34,7.63715,7.32373,7.32373,7.74768,7.71689
35,7.62299,7.29855,7.29855,7.72501,7.89293
36,7.60881,7.46507,7.46507,7.87488,7.70695
37,7.59461,6.78791,6.78791,7.26543,7.32222
38,7.58044,7.72970,7.72970,8.11304,8.18942
39,7.56633,8.00241,10.48872,10.59617,10.54172
40,7.55230,7.10663,9.14835,9.38983,9.54605
41,7.53840,7.77101,8.90096,9.16718,9.15930
42,7.52465,7.64677,7.64677,8.03841,7.96594
43,7.51110,6.95847,6.95847,7.41893,7.22579
44,7.49778,6.29822,6.29822,6.82471,6.69907
45,7.48475,7.35676,7.35676,7.77740,7.88643
46,7.47204,7.40971,7.40971,7.82505,7.89809
47,7.45970,7.62498,7.62498,8.01880,8.04524
48,7.44778,7.63294,7.63294,8.02596,8.19622
49,7.43633,7.25597,7.25597,7.68669,7.57679
50,7.42540,7.82366,7.82366,8.19761,8.34918
51,7.41505,7.09311,7.09311,7.54011,7.53586
52,7.40532,7.19579,7.19579,7.63253,7.48297
53,7.39627,7.37940,11.16446,11.20433,11.12063
54,7.38796,6.12619,11.08695,11.13457,10.99212
55,7.38045,6.60494,11.56539,11.56517,11.49392
56,7.37379,7.79156,12.58318,12.48118,12.37849
57,7.36806,6.67601,6.67601,7.16473,6.99816
58,7.36330,7.59560,7.59560,7.99236,8.05630
59,7.35958,7.96333,7.96333,8.32331,8.35690
60,7.35696,7.23731,7.23731,7.66989,7.54516
61,7.35552,6.82700,6.82700,7.30061,7.47246
62,7.35530,7.08551,7.08551,7.53327,7.43137
63,7.35638,7.58312,7.58312,7.98112,7.95589
64,7.35882,7.96976,7.96976,8.32910,8.39894
65,7.36268,6.67286,6.67286,7.16189,7.16712
66,7.36804,6.25534,6.25534,6.78612,6.60459
67,7.37495,7.18914,7.18914,7.62654,7.66555
68,7.38349,6.50827,6.50827,7.01376,6.93134
69,7.39371,7.64289,7.64289,8.03492,8.08009
70,7.40569,7.46190,7.46190,7.87202,7.93597
71,7.41949,7.28730,7.28730,7.71489,7.57282
72,7.43517,7.64696,7.64696,8.03857,8.00406
73,7.45280,6.98168,6.98168,7.43982,7.26718
74,7.47244,7.48729,7.48729,7.89488,7.82158
75,7.49416,7.29816,9.10891,9.35434,9.30267
76,7.51801,7.81992,4.84360,5.51556,5.41369
77,7.54406,7.08032,5.56047,6.16074,6.31371
78,7.57237,7.12021,7.12021,7.56450,7.58686
79,7.60299,6.64714,6.64714,7.13874,7.18792
80,7.63599,7.54021,7.54021,7.94251,7.87599
81,7.67142,8.22105,8.22105,8.55526,8.74218
82,7.70934,7.19701,7.19701,7.63362,7.54612
83,7.74980,6.66756,4.14878,4.89021,5.08766
84,7.79285,6.03190,3.08994,3.93726,3.99409
85,7.83854,7.40769,6.26413,6.79403,6.95253
86,7.88693,8.18379,8.18379,8.52172,8.65114
87,7.93806,7.90749,7.90749,8.27306,8.14308
88,7.99197,7.93841,10.79034,10.86762,11.00138
89,8.04871,7.66454,9.16383,9.40376,9.35587
90,8.10832,7.05432,9.97912,10.13752,10.24164
91,8.17083,7.95292,7.95292,8.31394,8.18892
92,8.23629,7.39189,7.39189,7.80901,7.86665
93,8.30473,8.04308,8.04308,8.39508,8.32297
94,8.37617,8.46961,8.46961,8.77896,8.62437
95,8.45066,7.84552,7.84552,8.21729,8.11855
96,8.52821,8.09423,8.09423,8.44113,8.40659
97,8.60885,8.52149,8.52149,8.82566,8.63960
98,8.69260,9.05273,9.05273,9.30377,9.49056
99,8.77948,9.82638,9.82638,10.00006,9.97087
100,8.86951,8.39553,8.39553,8.71230,8.57248
101,8.96270,8.69031,8.69031,8.97759,8.85477
102,9.05906,8.75072,8.75072,9.03197,9.11507
103,9.15860,8.71915,8.71915,9.00355,9.12944
104,9.26131,8.65362,8.65362,8.94457,8.75033
105,9.36721,8.36669,8.36669,8.68634,8.53086
106,9.47630,9.14975,9.14975,9.39109,9.55749
107,9.58855,8.87289,8.87289,9.14192,9.23219
108,9.70398,9.32333,9.32333,9.54731,9.48990
109,9.82256,9.39913,9.39913,9.61553,9.79545
110,9.94428,9.21896,9.21896,9.45338,9.46025
111,10.06913,10.20741,10.20741,10.34298,10.48562
112,10.19709,10.86969,10.86969,10.93904,11.01243
113,10.32812,9.79663,9.79663,9.97329,9.85597
114,10.46221,10.30495,10.30495,10.43077,10.45456
115,10.59932,10.28736,10.28736,10.41494,10.25499
116,10.73942,10.81189,10.81189,10.88702,10.78620
117,10.88247,10.64271,10.64271,10.73476,10.87077
118,11.02843,10.92817,10.92817,10.99166,11.03807
119,11.17726,10.32847,10.32847,10.45194,10.64335
