day2050,temp_warming,temp_warming_noise,temp_warming_noise_extreme,temp_warming_noise_extreme_inertia,temp_warming_noise_extreme_inertia_currents
1,9.42242,8.58152,8.58152,8.85943,9.01954
2,9.40851,8.37643,8.37643,8.67485,8.76878
3,9.39500,9.40068,9.40068,9.59668,9.41925
4,9.38186,9.16101,9.16101,9.38097,9.24218
5,9.36903,8.82044,8.82044,9.07446,9.22414
6,9.35648,8.67299,8.67299,8.94175,8.78382
7,9.34416,9.12251,9.12251,9.34632,9.47475
8,9.33203,9.29332,9.29332,9.50005,9.53446
9,9.32006,8.96550,8.96550,9.20501,9.21333
10,9.30820,9.69177,9.69177,9.85865,9.67037
11,9.29643,8.21312,8.21312,8.52787,8.35868
12,9.28472,9.11992,9.11992,9.34399,9.41408
13,9.27302,8.49170,8.49170,8.77859,8.80687
14,9.26133,8.16029,8.16029,8.48032,8.31876
15,9.24960,8.48439,8.48439,8.77202,8.90203
16,9.23782,8.81321,8.81321,9.06795,8.95771
17,9.22597,8.67521,8.67521,8.94375,8.75652
18,9.21402,7.98472,7.98472,8.32231,8.41261
19,9.20196,8.56550,8.56550,8.84501,8.77839
20,9.18978,8.88286,8.88286,9.13063,8.95544
21,9.17746,8.14617,6.97233,7.41116,7.59191
22,9.16500,9.05042,7.07316,7.50191,7.33688
23,9.15238,9.22525,6.58049,7.05850,7.24357
24,9.13960,8.53130,8.53130,8.81423,8.82282
25,9.12666,9.41013,9.41013,9.60518,9.52663
26,9.11356,8.25978,8.25978,8.56987,8.42690
27,9.10031,8.14048,8.14048,8.46250,8.30814
28,9.08689,8.39545,8.39545,8.69196,8.51058
29,9.07333,9.02155,9.02155,9.25545,9.45469
30,9.05964,9.16553,9.16553,9.38504,9.51009
31,9.04581,8.43311,8.43311,8.72586,8.64772
32,9.03188,8.52202,8.52202,8.80588,8.97473
33,9.01785,9.19434,9.19434,9.41097,9.21908
34,9.00375,7.96039,7.96039,8.30042,8.20926
35,8.98959,8.95924,8.95924,9.19938,9.14565
36,8.97541,8.51617,8.51617,8.80062,8.65234
37,8.96121,8.84526,8.84526,9.09680,9.17343
38,8.94704,8.30408,8.30408,8.60973,8.55633
39,8.93293,9.18489,9.18489,9.40247,9.50941
40,8.91890,8.10385,8.10385,8.42952,8.36003
41,8.90500,8.79340,8.79340,9.05013,8.87245
42,8.89125,8.77242,9.88619,10.03363,10.18366
43,8.87770,8.11514,10.89357,10.94028,10.96711
44,8.86438,8.67900,6.48401,6.97167,7.04392
45,8.85135,7.97115,7.97115,8.31010,8.28160
46,8.83864,8.15063,8.15063,8.47163,8.39541
47,8.82630,8.08411,8.08411,8.41176,8.21417
48,8.81438,8.20386,8.20386,8.51953,8.60937
49,8.80293,7.81254,7.81254,8.16735,8.21070
50,8.79200,8.09962,8.09962,8.42572,8.36950
51,8.78165,8.48053,8.48053,8.76854,8.87618
52,8.77192,8.11202,10.54083,10.62281,10.57192
53,8.76287,8.55324,6.50872,6.99391,6.92376
54,8.75456,8.31816,10.23933,10.35146,10.39502
55,8.74705,9.08616,9.08616,9.31361,9.38553
56,8.74039,8.78753,8.78753,9.04484,8.92855
57,8.73466,7.99468,7.99468,8.33127,8.28975
58,8.72990,8.41911,8.41911,8.71326,8.59277
59,8.72618,8.51466,8.51466,8.79926,8.70756
60,8.72356,7.69492,7.69492,8.06149,8.17195
61,8.72212,6.95978,6.95978,7.39987,7.53661
62,8.72190,7.99846,7.99846,8.33468,8.19862
63,8.72298,7.97965,7.97965,8.31775,8.26237
64,8.72542,7.65989,7.65989,8.02996,7.98307
65,8.72928,8.37317,8.37317,8.67191,8.56923
66,8.73464,8.64444,8.64444,8.91606,8.95754
67,8.74155,8.13341,8.13341,8.45613,8.36070
68,8.75009,7.00171,7.00171,7.43760,7.44997
69,8.76031,8.11994,8.11994,8.44401,8.38256
70,8.77229,8.58338,8.58338,8.86110,8.68119
71,8.78609,7.96762,7.96762,8.30692,8.23479
72,8.80177,8.28683,8.28683,8.59421,8.65508
73,8.81940,8.72402,8.72402,8.98768,8.95235
74,8.83904,8.76833,8.76833,9.02756,9.12829
75,8.86076,7.02902,7.02902,7.46218,7.62474
76,8.88461,8.34465,8.34465,8.64625,8.64409
77,8.91066,8.91508,8.91508,9.15964,9.26260
78,8.93897,8.03098,8.03098,8.36395,8.22100
79,8.96959,8.29073,8.29073,8.59772,8.60478
80,9.00259,8.83926,8.83926,9.09139,9.14521
81,9.03802,8.58732,8.58732,8.86465,8.83573
82,9.07594,9.30408,9.30408,9.50973,9.47488
83,9.11640,8.43181,8.43181,8.72470,8.52712
84,9.15945,8.62035,8.62035,8.89438,8.73968
85,9.20514,9.58869,11.94085,11.88282,11.83018
86,9.25353,9.31102,6.75134,7.21227,7.12186
87,9.30466,8.37510,6.53578,7.01826,6.90143
88,9.35857,9.61865,9.61865,9.79284,9.96743
89,9.41531,9.37146,9.37146,9.57038,9.44989
90,9.47492,9.42572,9.42572,9.61921,9.59089
91,9.53743,9.67951,9.67951,9.84762,9.82865
92,9.60289,9.20668,9.20668,9.42207,9.24845
93,9.67133,9.81329,9.81329,9.96802,9.87702
94,9.74277,9.29525,9.29525,9.50179,9.39729
95,9.81726,10.16661,10.16661,10.28601,10.20607
96,9.89481,10.11475,10.11475,10.23934,10.41926
97,9.97545,10.18397,10.18397,10.30163,10.43801
98,10.05920,9.97495,9.97495,10.11352,10.12965
99,10.14608,9.63791,9.63791,9.81018,9.69301
100,10.23611,8.92562,8.92562,9.16912,9.23774
101,10.32930,9.84812,9.84812,9.99937,10.06832
102,10.42566,10.10115,10.10115,10.22710,10.18751
103,10.52520,9.59524,9.59524,9.77178,9.62440
104,10.62791,9.73396,9.73396,9.89662,9.97615
105,10.73381,10.02740,10.02740,10.16072,9.98423
106,10.84290,10.07417,10.07417,10.20282,10.10140
107,10.95515,11.35635,11.35635,11.35677,11.50013
108,11.07058,10.47771,10.47771,10.56600,10.71140
109,11.18916,11.34558,11.34558,11.34708,11.22803
110,11.31088,11.17123,11.17123,11.19017,11.15168
111,11.43573,10.41409,10.41409,10.50875,10.48780
112,11.56369,10.44382,7.88463,8.23223,8.31807
113,11.69472,11.47196,13.03301,12.86578,12.72886
114,11.82881,11.71254,10.70485,10.77043,10.86472
115,11.96592,11.92284,10.26425,10.37389,10.38197
116,12.10602,12.17840,13.37097,13.16993,13.21503
117,12.24907,12.11425,15.02178,14.65567,14.76345
118,12.39503,11.71412,11.71412,11.67877,11.80247
119,12.54386,11.58586,11.58586,11.56333,11.56830
120,12.69552,11.49916,11.49916,11.48531,11.41189
121,12.84994,12.37357,12.37357,12.27228,12.31328
122,13.00709,11.97349,11.97349,11.91220,11.87300
123,13.16689,12.63976,12.63976,12.51185,12.33450
124,13.32930,11.95099,11.95099,11.89196,11.88122
125,13.49425,12.95156,12.95156,12.79246,12.76940
126,13.66167,13.53634,13.53634,13.31877,13.14195
127,13.83150,12.16325,12.16325,12.08299,12.16066
128,14.00367,13.61887,13.61887,13.39304,13.35623
129,14.17810,13.55419,13.55419,13.33483,13.19549
130,14.35471,13.75806,13.75806,13.51831,13.69092
131,14.53342,14.39148,14.39148,14.08839,13.95271
132,14.71416,14.11860,14.11860,13.84280,13.66288
133,14.89683,14.42015,16.53298,16.01574,16.06812
134,15.08134,15.12045,12.76391,12.62358,12.79052
135,15.26761,15.08833,16.73910,16.20125,16.36807
136,15.45554,14.31906,14.31906,14.02321,14.12958
137,15.64504,15.23868,13.22614,13.03959,12.92528
138,15.83601,14.24968,12.58535,12.46288,12.34113
139,16.02834,15.39540,12.98148,12.81940,12.99787
140,16.22194,15.09730,15.09730,14.72363,14.85445
141,16.41670,14.96130,14.96130,14.60123,14.73630
142,16.61251,16.52322,16.52322,16.00696,15.88349
143,16.80927,15.72145,15.72145,15.28536,15.48062
144,17.00686,17.07600,17.07600,16.50446,16.68025
145,17.20517,16.82961,16.82961,16.28271,16.37975
146,17.40409,17.00506,17.00506,16.44061,16.34046
147,17.60350,17.27708,15.98521,15.52275,15.67072
148,17.80329,16.79465,14.21837,13.93259,14.09624
149,18.00333,17.99808,19.66161,18.83151,18.88788
150,18.20351,18.64853,18.64853,17.91974,17.83749
151,18.40370,18.27505,18.27505,17.58361,17.45239
152,18.60379,17.69892,17.69892,17.06509,17.25530
153,18.80365,18.61672,18.61672,17.89111,17.91788
154,19.00315,18.52693,18.52693,17.81030,17.74621
155,19.20218,18.33081,18.33081,17.63379,17.45071
156,19.40061,19.24553,19.24553,18.45704,18.37230
157,19.59831,19.67730,19.67730,18.84563,18.81799
158,19.79516,18.42744,18.42744,17.72076,17.83102
159,19.99103,19.69245,19.69245,18.85927,18.81382
160,20.18579,19.56789,19.56789,18.74716,18.60245
161,20.37932,20.35482,20.35482,19.45540,19.37248
162,20.57150,19.74458,19.74458,18.90619,19.04962
163,20.76219,19.57310,19.57310,18.75185,18.74092
164,20.95128,20.32352,20.32352,19.42723,19.47338
165,21.13863,20.18659,20.18659,19.30399,19.41945
166,21.32413,21.04147,21.04147,20.07339,20.25719
167,21.50765,20.67932,20.67932,19.74745,19.63943
168,21.68906,20.20682,20.20682,19.32220,19.30650
169,21.86825,21.74411,21.74411,20.70576,20.73787
170,22.04509,20.77521,20.77521,19.83375,19.90146
171,22.21947,22.31641,22.31641,21.22083,21.32439
172,22.39126,22.55898,22.55898,21.43914,21.53313
173,22.56035,22.58402,22.58402,21.46168,21.63337
174,22.72663,22.41461,22.41461,21.30921,21.12082
175,22.88998,22.89705,22.89705,21.74340,21.93104
176,23.05028,22.55085,22.55085,21.43183,21.47627
177,23.20744,22.32826,22.32826,21.23150,21.18981
178,23.36133,22.97546,22.97546,21.81397,21.96828
179,23.51186,23.54602,21.46731,20.45664,20.47999
180,23.65892,23.33364,21.00658,20.04198,20.21892
181,23.80240,22.87719,20.49616,19.58261,19.63970
182,23.94222,22.48781,22.48781,21.37509,21.27060
183,24.07827,23.50997,23.50997,22.29503,22.12488
184,24.21046,23.76348,23.76348,22.52320,22.42083
185,24.33869,23.76784,23.76784,22.52712,22.38004
186,24.46288,23.63696,23.63696,22.40933,22.46783
187,24.58294,24.36001,24.36001,23.06007,23.08607
188,24.69879,24.12410,25.34053,23.94254,24.11210
189,24.81035,23.96870,25.86515,24.41470,24.33393
190,24.91754,25.04532,26.75463,25.21523,25.18340
191,25.02029,24.20465,27.08349,25.51120,25.47587
192,25.11852,24.51810,26.32824,24.83148,24.82929
193,25.21217,24.36461,26.53286,25.01563,25.08741
194,25.30118,24.91307,21.92192,20.86579,20.97074
195,25.38548,23.81399,21.35734,20.35767,20.39093
196,25.46501,25.24524,26.43616,24.92861,25.12027
197,25.53973,25.76205,26.95511,25.39566,25.46501
198,25.60959,24.32578,26.98367,25.42137,25.54586
199,25.67453,25.49881,24.19069,22.90768,22.75200
200,25.73451,25.93482,25.93482,24.47740,24.43172
201,25.78950,24.92525,24.92525,23.56878,23.65291
202,25.83945,24.99547,24.99547,23.63198,23.65853
203,25.88435,25.47790,25.47790,24.06618,24.24308
204,25.92415,24.93751,24.93751,23.57982,23.64767
205,25.95884,25.90779,25.90779,24.45307,24.55204
206,25.98839,25.67215,25.67215,24.24100,24.20217
207,26.01279,25.63076,25.63076,24.20375,24.24145
208,26.03203,25.63823,25.63823,24.21047,24.15002
209,26.04610,25.80572,25.80572,24.36121,24.51377
210,26.05499,24.96722,24.96722,23.60656,23.79314
211,26.05871,25.52634,25.52634,24.10977,24.18423
212,26.05725,26.58578,26.58578,25.06326,25.08226
213,26.05062,26.51250,26.51250,24.99731,24.87824
214,26.03884,26.91243,26.91243,25.35725,25.44610
215,26.02192,25.95152,25.95152,24.49243,24.57699
216,25.99988,26.44824,26.44824,24.93948,24.98200
217,25.97274,25.53014,25.53014,24.11319,24.08533
218,25.94052,24.85547,24.85547,23.50599,23.38044
219,25.90326,25.73220,25.73220,24.29504,24.12727
220,25.86100,25.55410,25.55410,24.13475,23.94762
221,25.81376,26.05933,26.05933,24.58946,24.59787
222,25.76159,26.01086,26.01086,24.54584,24.72076
223,25.70454,25.57769,25.57769,24.15598,24.07176
224,25.64265,25.56158,25.56158,24.14148,24.17047
225,25.57597,25.84780,25.84780,24.39908,24.35743
226,25.50457,24.10978,24.10978,22.83487,22.93634
227,25.42850,25.50184,25.50184,24.08772,23.97238
228,25.34781,25.78298,25.78298,24.34074,24.30635
229,25.26259,24.00939,25.28277,23.89056,23.75041
230,25.17289,23.54962,21.52792,20.51119,20.50049
231,25.07879,23.81072,21.61659,20.59100,20.77340
232,24.98037,24.20941,24.20941,22.92453,22.89154
233,24.87769,23.80164,23.80164,22.55754,22.64032
234,24.77085,24.62230,26.41663,24.91103,24.95017
235,24.65992,24.12648,22.11760,21.04190,20.85279
236,24.54499,23.44647,20.97260,20.01141,19.97954
237,24.42615,23.55856,23.55856,22.33877,22.43294
238,24.30350,24.30489,24.30489,23.01046,23.03340
239,24.17712,23.47805,23.47805,22.26631,22.42747
240,24.04711,23.36769,23.36769,22.16698,22.28040
241,23.91357,23.63116,23.63116,22.40411,22.54046
242,23.77661,23.85446,23.85446,22.60507,22.77658
243,23.63632,22.80751,22.80751,21.66282,21.66389
244,23.49281,22.75880,22.75880,21.61898,21.79337
245,23.34619,21.83543,21.83543,20.78795,20.96370
246,23.19656,22.13243,22.13243,21.05525,21.15093
247,23.04404,22.91111,18.60773,17.88302,17.76071
248,22.88873,22.44646,18.47426,17.76290,17.65458
249,22.73075,22.10260,18.75289,18.01367,18.03751
250,22.57022,21.93910,27.13512,25.55767,25.40042
251,22.40724,21.83070,19.87913,19.02728,19.05286
252,22.24195,22.76413,22.76413,21.62378,21.73367
253,22.07444,21.79423,21.79423,20.75087,20.82418
254,21.90485,21.93319,21.93319,20.87593,20.76963
255,21.73328,20.81366,20.81366,19.86836,19.95766
256,21.55987,21.02828,21.02828,20.06151,20.25076
