day2050,temp_warming,temp_warming_noise,temp_warming_noise_extreme,temp_warming_noise_extreme_inertia,temp_warming_noise_extreme_inertia_currents
1,9.35582,8.85016,8.85016,9.15130,9.06168
2,9.34191,9.27415,9.27415,9.53290,9.41681
3,9.32840,8.94115,13.32321,13.17705,13.07782
4,9.31526,10.20155,8.05872,8.43901,8.46423
5,9.30243,9.78134,3.49783,4.33420,4.20911
6,9.28988,8.56385,5.27274,5.93162,5.83821
7,9.27756,9.08994,9.08994,9.36710,9.51719
8,9.26543,9.76466,9.76466,9.97435,10.13518
9,9.25346,9.54068,9.54068,9.77277,9.90834
10,9.24160,9.47817,9.47817,9.71651,9.76396
11,9.22983,9.53053,9.53053,9.76364,9.79508
12,9.21812,8.50550,8.50550,8.84110,9.00995
13,9.20642,9.51228,9.51228,9.74721,9.88154
14,9.19473,9.62080,9.62080,9.84488,9.91167
15,9.18300,9.09365,9.09365,9.37044,9.46197
16,9.17122,9.30770,9.30770,9.56309,9.36987
17,9.15937,9.33758,9.33758,9.58998,9.39115
18,9.14742,9.17476,9.17476,9.44344,9.38473
19,9.13536,9.47095,9.47095,9.71001,9.72046
20,9.12318,8.43981,8.43981,8.78199,8.72134
21,9.11086,9.55059,9.55059,9.78169,9.78024
22,9.09840,9.29403,9.29403,9.55079,9.72094
23,9.08578,9.08632,9.08632,9.36384,9.29648
24,9.07300,10.13776,10.13776,10.31014,10.23810
25,9.06006,9.02898,9.02898,9.31224,9.39594
26,9.04696,9.38974,9.38974,9.63693,9.82293
27,9.03371,9.19911,9.19911,9.46536,9.55561
28,9.02029,9.28367,9.28367,9.54146,9.50815
29,9.00673,8.72982,8.72982,9.04300,9.10006
30,8.99304,9.05419,9.05419,9.33493,9.15078
31,8.97921,8.34804,8.34804,8.69939,8.57602
32,8.96528,8.06206,8.06206,8.44201,8.51028
33,8.95125,9.22204,9.22204,9.48599,9.64675
34,8.93715,9.32871,9.32871,9.58200,9.77410
35,8.92299,9.49612,9.49612,9.73267,9.70243
36,8.90881,8.50720,8.50720,8.84264,8.94254
37,8.89461,9.40997,7.82762,8.23101,8.32569
38,8.88044,9.15945,10.16848,10.33779,10.15924
39,8.86633,8.92346,11.38780,11.43518,11.36212
40,8.85230,8.39132,8.39132,8.73834,8.85165
41,8.83840,8.59060,6.68316,7.20100,7.32209
42,8.82465,8.19946,9.52979,9.76297,9.61594
43,8.81110,8.61079,6.67869,7.19698,7.20327
44,8.79778,9.16958,9.16958,9.43878,9.40723
45,8.78475,8.48244,8.48244,8.82035,8.83333
46,8.77204,8.60732,8.60732,8.93274,8.85943
47,8.75970,8.74338,8.74338,9.05520,9.07415
48,8.74778,9.05132,9.05132,9.33235,9.49856
49,8.73633,8.52602,8.52602,8.85958,8.89874
50,8.72540,9.64099,9.64099,9.86305,10.04765
51,8.71505,8.49019,8.49019,8.82733,8.86763
52,8.70532,8.87071,8.87071,9.16980,9.03295
53,8.69627,9.68910,9.68910,9.90635,10.10038
54,8.68796,9.04674,9.04674,9.32822,9.45041
55,8.68045,8.85485,8.85485,9.15552,9.04910
56,8.67379,9.00605,9.00605,9.29160,9.27480
57,8.66806,8.54370,10.69858,10.81488,10.70657
58,8.66330,8.59804,6.03146,6.61447,6.74172
59,8.65958,9.22604,6.91722,7.41165,7.33020
60,8.65696,9.00400,9.00400,9.28975,9.09448
61,8.65552,7.75747,7.75747,8.16788,8.28242
62,8.65530,9.02360,9.02360,9.30740,9.49934
63,8.65638,8.61242,8.61242,8.93733,9.12310
64,8.65882,9.88670,9.88670,10.08419,10.04967
