day2024,temp_warming,temp_warming_noise,temp_warming_noise_extreme,temp_warming_noise_extreme_inertia,temp_warming_noise_extreme_inertia_currents
102,9.12566,9.27630,11.18306,11.27461,11.33718
103,9.22520,8.39527,10.19241,10.38302,10.39107
104,9.32791,9.52090,9.52090,9.77867,9.86140
105,9.43381,8.85130,8.85130,9.17603,9.18431
106,9.54290,10.94745,10.94745,11.06256,10.88323
107,9.65515,9.55070,9.55070,9.80548,9.60572
108,9.77058,10.25591,10.25591,10.44017,10.52310
109,9.88916,9.80436,9.80436,10.03378,9.90946
110,10.01088,9.60740,9.60740,9.85651,9.91218
111,10.13573,10.28894,12.41032,12.37914,12.25598
112,10.26369,10.06436,12.46516,12.42850,12.49857
113,10.39472,10.47095,9.39227,9.66290,9.85724
114,10.52881,10.78766,10.78766,10.91875,10.99560
115,10.66592,11.36849,11.36849,11.44149,11.47894
116,10.80602,11.28950,11.28950,11.37040,11.45071
117,10.94907,11.35026,11.35026,11.42509,11.50271
118,11.09503,12.07683,12.07683,12.07900,12.02035
119,11.24386,11.14247,11.14247,11.23808,11.09039
120,11.39552,11.46128,13.38954,13.26044,13.22314
121,11.54994,12.51785,15.08290,14.78447,14.77889
122,11.70709,12.08259,13.87760,13.69970,13.51281
123,11.86689,12.68250,12.68250,12.62410,12.51977
124,12.02930,12.52403,12.52403,12.48148,12.32435
125,12.19425,11.85500,11.85500,11.87935,11.69858
126,12.36167,12.71755,12.71755,12.65565,12.78761
127,12.53150,13.93927,13.93927,13.75519,13.86381
128,12.70367,13.34398,13.34398,13.21943,13.06031
129,12.87810,12.41450,12.41450,12.38290,12.36722
130,13.05471,13.63948,13.63948,13.48538,13.67491
131,13.23342,13.64292,13.64292,13.48849,13.68248
132,13.41416,14.32955,14.32955,14.10645,14.28286
133,13.59683,13.17743,13.17743,13.06954,13.18616
134,13.78134,13.91889,13.91889,13.73685,13.60161
135,13.96761,13.97322,13.97322,13.78575,13.63771
136,14.15554,14.61545,14.61545,14.36376,14.28600
137,14.34504,14.00091,11.90108,11.92083,11.86292
138,14.53601,15.23657,12.42725,12.39438,12.26297
139,14.72834,14.88605,13.48186,13.34353,13.16207
140,14.92194,15.14625,15.14625,14.84148,14.70735
141,15.11670,15.33748,15.33748,15.01358,14.85353
142,15.31251,15.92034,15.92034,15.53816,15.68742
143,15.50927,15.75926,15.75926,15.39318,15.54858
144,15.70686,16.59223,17.60401,17.05346,16.96873
145,15.90517,16.16168,14.98363,14.69513,14.80942
146,16.10409,16.96002,15.09946,14.79937,14.60733
147,16.30350,16.24411,16.24411,15.82956,15.64981
148,16.50329,17.01993,17.01993,16.52779,16.33623
149,16.70333,17.45495,17.45495,16.91931,17.08594
150,16.90351,17.37225,17.37225,16.84488,16.79135
151,17.10370,17.11916,17.11916,16.61709,16.67516
152,17.30379,16.88915,16.88915,16.41009,16.59643
153,17.50365,17.87240,17.87240,17.29501,17.43627
154,17.70315,18.12433,18.12433,17.52175,17.64210
155,17.90218,17.69987,17.69987,17.13974,17.13048
156,18.10061,18.10376,18.10376,17.50324,17.34919
157,18.29831,18.77671,18.77671,18.10889,17.91728
158,18.49516,18.70711,18.70711,18.04626,18.23083
159,18.69103,19.29434,19.29434,18.57476,18.45790
160,18.88579,18.96332,18.96332,18.27684,18.40595
161,19.07932,19.85939,19.85939,19.08330,19.28173
162,19.27150,19.08290,19.08290,18.38447,18.39251
163,19.46219,19.67460,19.67460,18.91699,18.89158
164,19.65128,21.34679,21.34679,20.42196,20.27523
165,19.83863,20.32849,20.32849,19.50550,19.43969
166,20.02413,21.43141,21.43141,20.49813,20.35763
167,20.20765,21.22533,19.34768,18.62276,18.49606
168,20.38906,21.53187,19.79925,19.02918,18.92721
169,20.56825,20.34606,21.73621,20.77244,20.86133
170,20.74509,21.02072,21.02072,20.12851,20.21792
171,20.91947,21.07184,23.18412,22.07556,22.01154
172,21.09126,20.88689,23.21945,22.10736,21.98978
173,21.26035,21.34141,23.35511,22.22946,22.40762
174,21.42663,22.09376,22.09376,21.09424,21.26805
175,21.58998,22.17657,22.17657,21.16877,21.20831
176,21.75028,21.88937,21.88937,20.91028,20.73413
177,21.90744,22.14414,22.14414,21.13958,21.00561
178,22.06133,22.91870,22.91870,21.83669,21.67774
179,22.21186,21.86201,21.86201,20.88566,21.01408
180,22.35892,22.12580,22.12580,21.12308,21.29162
181,22.50240,22.52197,22.52197,21.47963,21.64767
182,22.64222,23.31177,23.31177,22.19045,22.37175
183,22.77827,22.37741,22.37741,21.34953,21.43082
184,22.91046,22.37044,24.91364,23.63213,23.58155
185,23.03869,23.62677,20.70758,19.84668,19.94274
186,23.16288,24.08816,26.24982,24.83469,24.96027
187,23.28294,22.93431,22.93431,21.85074,21.67583
188,23.39879,23.71502,23.71502,22.55337,22.61208
189,23.51035,24.22798,24.22798,23.01504,22.97204
190,23.61754,23.82119,23.82119,22.64892,22.61622
191,23.72029,23.39794,23.39794,22.26800,22.08400
192,23.81852,23.74000,23.74000,22.57585,22.40419
193,23.91217,25.04356,25.04356,23.74905,23.59072
194,24.00118,23.97017,23.97017,22.78301,22.92539
195,24.08548,23.72177,23.72177,22.55945,22.60466
196,24.16501,24.67543,24.67543,23.41774,23.38347
197,24.23973,24.91045,24.91045,23.62926,23.79150
198,24.30959,25.20545,25.20545,23.89476,24.08813
199,24.37453,24.10303,24.10303,22.90258,22.90285
200,24.43451,24.65316,24.65316,23.39770,23.42792
201,24.48950,25.27505,25.27505,23.95740,23.97556
202,24.53945,24.50862,24.50862,23.26761,23.25583
203,24.58435,25.48947,25.48947,24.15037,24.12538
204,24.62415,25.18762,25.18762,23.87871,24.02520
205,24.65884,25.64090,25.64090,24.28667,24.37293
206,24.68839,24.86625,24.86625,23.58948,23.40201
207,24.71279,25.34741,25.34741,24.02253,24.14672
208,24.73203,24.75530,24.75530,23.48963,23.61123
209,24.74610,24.77931,27.58246,26.03407,26.13456
210,24.75499,24.98427,23.64747,22.49257,22.60433
211,24.75871,24.75317,26.95480,25.46918,25.43751
212,24.75725,25.41518,25.41518,24.08352,23.89586
213,24.75062,24.83972,24.83972,23.56560,23.54713
214,24.73884,24.83082,24.83082,23.55759,23.64085
215,24.72192,24.98756,24.98756,23.69866,23.64689
216,24.69988,24.83711,24.83711,23.56326,23.50560
217,24.67274,24.68175,24.68175,23.42343,23.23997
218,24.64052,25.52259,25.52259,24.18019,24.09887
219,24.60326,24.82696,23.57964,22.43153,22.34608
220,24.56100,25.21843,23.21645,22.10466,22.09875
221,24.51376,24.60989,22.65533,21.59965,21.55483
222,24.46159,24.44168,24.44168,23.20736,23.31174
223,24.40454,25.66050,25.66050,24.30430,24.18227
224,24.34265,24.58284,24.58284,23.33441,23.45235
225,24.27597,24.28103,24.28103,23.06278,23.24718
226,24.20457,25.24828,25.24828,23.93331,24.12484
227,24.12850,24.49950,24.49950,23.25940,23.30437
228,24.04781,23.68351,23.68351,22.52501,22.52750
