day2024,temp_warming,temp_warming_noise,temp_warming_noise_extreme,temp_warming_noise_extreme_inertia,temp_warming_noise_extreme_inertia_currents
1,8.05582,7.43308,7.43308,7.85210,8.03088
2,8.04191,7.12824,7.12824,7.57774,7.59020
3,8.02840,7.67266,7.67266,8.06772,8.07473
4,8.01526,7.74104,7.74104,8.12926,8.21593
5,8.00243,8.85658,8.85658,9.13325,9.16724
6,7.98988,7.13100,7.13100,7.58023,7.56549
7,7.97756,8.35888,8.35888,8.68532,8.85115
8,7.96543,7.23158,7.23158,7.67075,7.73753
9,7.95346,8.10856,8.10856,8.46003,8.39415
10,7.94160,7.77068,7.77068,8.15593,8.26054
11,7.92983,7.42308,7.42308,7.84309,7.87268
12,7.91812,7.66150,7.66150,8.05767,8.08658
13,7.90642,7.20352,7.20352,7.64549,7.80711
14,7.89473,7.92509,7.92509,8.29491,8.43304
15,7.88300,6.55284,6.55284,7.05988,7.04099
16,7.87122,8.63745,8.63745,8.93603,8.95351
17,7.85937,8.42022,8.42022,8.74053,8.74455
18,7.84742,7.46450,7.46450,7.88037,7.88234
19,7.83536,8.17541,8.17541,8.52019,8.59342
20,7.82318,7.68285,7.68285,8.07689,8.09838
21,7.81086,6.56435,6.56435,7.07024,6.96643
22,7.79840,7.65987,9.90795,10.07948,10.02705
23,7.78578,7.49744,5.69645,6.28913,6.43749
24,7.77300,7.99277,10.81313,10.89414,10.84638
25,7.76006,7.40414,7.40414,7.82605,7.62824
26,7.74696,7.74639,7.74639,8.13407,8.08285
27,7.73371,7.14501,7.14501,7.59283,7.51364
28,7.72029,8.32064,8.32064,8.65090,8.59045
29,7.70673,7.57665,7.57665,7.98131,7.88258
30,7.69304,6.94240,6.94240,7.41049,7.48240
31,7.67921,7.57953,9.37167,9.59682,9.40424
32,7.66528,7.83645,9.93664,10.10530,10.12004
33,7.65125,6.84546,9.30590,9.53763,9.41886
34,7.63715,7.46386,7.46386,7.87980,7.99247
35,7.62299,7.67193,7.67193,8.06706,8.22720
36,7.60881,6.95541,8.15982,8.50617,8.51389
37,7.59461,7.82910,8.87909,9.15350,9.09448
38,7.58044,7.29035,9.79100,9.97423,10.10668
39,7.56633,7.98510,7.98510,8.34892,8.17449
40,7.55230,7.81256,7.81256,8.19363,8.19808
41,7.53840,6.72948,6.72948,7.21886,7.11025
42,7.52465,7.13820,7.13820,7.58670,7.52838
43,7.51110,7.75004,7.75004,8.13736,8.15315
44,7.49778,7.60433,7.60433,8.00622,7.92210
45,7.48475,7.62375,7.62375,8.02370,7.97691
46,7.47204,7.57146,7.57146,7.97664,7.86240
47,7.45970,7.51283,10.54799,10.65551,10.64019
48,7.44778,7.47636,2.54863,3.45609,3.35734
