day2050,temp_warming,temp_warming_noise,temp_warming_noise_extreme,temp_warming_noise_extreme_inertia,temp_warming_noise_extreme_inertia_currents
102,10.35906,10.27948,10.27948,10.44749,10.34941
103,10.45860,11.14634,11.14634,11.22766,11.29915
104,10.56131,11.41875,11.41875,11.47283,11.28324
105,10.66721,11.52452,11.52452,11.56802,11.72924
106,10.77630,10.68986,10.68986,10.81682,10.72053
107,10.88855,11.21705,11.21705,11.29130,11.29355
108,11.00398,11.46344,11.46344,11.51305,11.39057
109,11.12256,11.10623,11.10623,11.19156,11.27489
110,11.24428,11.29349,11.29349,11.36009,11.31710
111,11.36913,11.98730,11.98730,11.98452,11.82878
112,11.49709,11.54596,13.88047,13.68838,13.65125
113,11.62812,12.56003,11.09810,11.18424,11.21586
114,11.76221,11.82329,12.87176,12.78053,12.80513
115,11.89932,11.80594,14.18611,13.96345,14.09727
116,12.03942,12.38708,14.38510,14.14254,14.28490
117,12.18247,11.52448,12.81318,12.72782,12.78389
118,12.32843,12.12867,7.59597,8.03232,8.20720
119,12.47726,12.56644,16.15514,15.73558,15.76353
120,12.62892,13.29273,17.63744,17.06965,17.05122
121,12.78334,12.51941,8.05055,8.44145,8.52194
122,12.94049,12.54195,12.54195,12.48371,12.33955
123,13.10029,13.55104,13.55104,13.39189,13.41965
124,13.26270,13.22623,13.22623,13.09956,13.20932
125,13.42765,13.14240,13.14240,13.02411,13.20767
126,13.59507,13.54792,13.54792,13.38908,13.40638
127,13.76490,13.62764,13.62764,13.46083,13.31646
128,13.93707,14.30323,14.30323,14.06886,14.17332
129,14.11150,14.42073,14.42073,14.17461,14.00339
130,14.28811,15.49147,15.49147,15.13828,15.20749
131,14.46682,14.97726,14.97726,14.67549,14.59132
132,14.64756,15.19468,15.19468,14.87117,14.77425
133,14.83023,15.54392,12.61741,12.55162,12.65395
134,15.01474,14.96109,17.47109,16.91993,16.93296
135,15.20101,15.45355,18.07365,17.46224,17.52111
136,15.38894,15.73845,15.73845,15.36056,15.44736
137,15.57844,15.34612,15.34612,15.00746,15.04431
138,15.76941,15.16030,15.16030,14.84022,14.72620
139,15.96174,16.57057,16.57057,16.10946,16.12794
140,16.15534,16.39037,16.39037,15.94729,16.00054
141,16.35010,16.88001,16.88001,16.38797,16.40097
142,16.54591,16.67830,16.67830,16.20643,16.39351
143,16.74267,16.89670,16.89670,16.40299,16.38434
144,16.94026,17.12299,17.12299,16.60664,16.61505
145,17.13857,17.25886,17.25886,16.72893,16.62947
146,17.33749,17.36093,14.76579,14.48516,14.49781
147,17.53690,18.13412,15.33164,14.99443,15.02324
148,17.73669,18.13389,20.90146,20.00727,20.07096
