day2050,temp_warming,temp_warming_noise,temp_warming_noise_extreme,temp_warming_noise_extreme_inertia,temp_warming_noise_extreme_inertia_currents
1,9.42242,9.62185,9.62185,9.81321,9.92977
2,9.40851,9.10601,9.10601,9.34895,9.18732
3,9.39500,8.79967,8.79967,9.07325,9.01052
4,9.38186,8.46657,8.46657,8.77346,8.81318
5,9.36903,8.86690,8.86690,9.13376,9.05131
6,9.35648,9.11100,7.43294,7.84320,7.96835
7,9.34416,9.18473,11.37104,11.38749,11.32856
8,9.33203,9.80918,11.30670,11.32958,11.41345
9,9.32006,9.24275,9.24275,9.47203,9.59184
10,9.30820,8.39305,8.39305,8.70729,8.80340
11,9.29643,9.08207,9.08207,9.32741,9.49635
12,9.28472,7.87235,10.41628,10.52820,10.38429
13,9.27302,9.48251,11.91285,11.87512,11.73342
14,9.26133,9.34296,6.95595,7.41391,7.56886
15,9.24960,8.72189,8.72189,9.00325,8.97539
16,9.23782,8.95267,8.95267,9.21095,9.16599
17,9.22597,9.38310,9.38310,9.59834,9.74220
18,9.21402,8.75683,8.75683,9.03470,9.09890
19,9.20196,8.93452,6.08119,6.62662,6.66065
20,9.18978,8.26833,10.34337,10.46259,10.29047
21,9.17746,8.46536,10.83082,10.90129,10.82212
22,9.16500,9.40584,9.40584,9.61880,9.75693
23,9.15238,8.86458,8.86458,9.13167,9.29993
24,9.13960,8.72349,7.05922,7.50685,7.58022
25,9.12666,9.46583,6.94711,7.40595,7.29543
26,9.11356,9.38450,7.30128,7.72470,7.52652
27,9.10031,8.23768,8.23768,8.56746,8.54760
28,9.08689,8.50541,8.50541,8.80842,9.00200
29,9.07333,9.00968,9.00968,9.26226,9.15185
30,9.05964,8.46150,8.46150,8.76890,8.59384
31,9.04581,9.16035,9.16035,9.39787,9.42104
32,9.03188,9.30770,9.30770,9.53048,9.63522
33,9.01785,8.74823,8.74823,9.02696,9.21950
34,9.00375,8.79563,8.79563,9.06961,9.02302
35,8.98959,8.76063,8.76063,9.03812,9.02395
36,8.97541,9.14032,9.14032,9.37983,9.53944
37,8.96121,9.34807,9.34807,9.56681,9.66792
38,8.94704,8.91125,8.91125,9.17367,9.02332
39,8.93293,8.54482,8.54482,8.84389,8.68051
40,8.91890,8.39598,8.39598,8.70993,8.71809
41,8.90500,9.06224,9.06224,9.30957,9.48543
42,8.89125,8.10265,8.10265,8.44593,8.43262
43,8.87770,8.44408,8.44408,8.75322,8.85755
44,8.86438,8.71745,8.71745,8.99926,8.93755
45,8.85135,7.99014,7.99014,8.34468,8.34084
46,8.83864,7.18969,7.18969,7.62427,7.53961
47,8.82630,7.71658,7.71658,8.09847,8.20605
48,8.81438,8.17623,8.17623,8.51215,8.68021
49,8.80293,9.16107,9.16107,9.39851,9.41339
50,8.79200,8.48757,8.48757,8.79236,8.97374
51,8.78165,8.18641,8.18641,8.52131,8.35590
52,8.77192,7.71442,7.71442,8.09652,8.28425
53,8.76287,8.24310,8.24310,8.57234,8.43534
54,8.75456,8.77124,8.77124,9.04766,8.94042
55,8.74705,8.27892,8.27892,8.60458,8.47744
56,8.74039,8.54316,8.54316,8.84239,8.99458
57,8.73466,8.68926,8.68926,8.97388,8.87833
58,8.72990,8.53375,8.53375,8.83392,8.77066
59,8.72618,8.16234,8.16234,8.49965,8.68851
60,8.72356,8.16160,8.16160,8.49899,8.42193
61,8.72212,7.56531,7.56531,7.96233,8.00297
62,8.72190,8.88488,8.88488,9.14994,8.99710
63,8.72298,7.77963,7.77963,8.15521,8.31286
64,8.72542,7.44717,7.44717,7.85600,8.01643
65,8.72928,8.54153,8.54153,8.84092,9.00617
66,8.73464,8.59376,8.59376,8.88793,8.80948
67,8.74155,8.95453,7.10331,7.54653,7.74214
68,8.75009,9.10565,11.35563,11.37361,11.53146
69,8.76031,8.78782,7.57767,7.97346,8.13709
70,8.77229,7.33787,7.33787,7.75763,7.89757
71,8.78609,8.20653,8.20653,8.53942,8.58700
72,8.80177,8.89686,8.89686,9.16073,9.22621
73,8.81940,8.34699,8.34699,8.66584,8.47634
74,8.83904,8.17062,8.17062,8.50710,8.38844
75,8.86076,7.73875,7.73875,8.11842,8.00487
76,8.88461,8.38271,8.38271,8.69799,8.74118
77,8.91066,7.47731,7.47731,7.88313,7.80086
78,8.93897,8.52620,8.52620,8.82713,8.67804
79,8.96959,8.63256,8.63256,8.92285,9.05764
80,9.00259,8.55235,8.55235,8.85067,8.96855
81,9.03802,9.38819,9.38819,9.60292,9.77719
82,9.07594,8.36269,8.36269,8.67997,8.60220
83,9.11640,9.23880,9.23880,9.46847,9.34142
84,9.15945,8.81014,9.86953,10.03613,9.98220
85,9.20514,9.02958,10.56438,10.66150,10.63649
86,9.25353,9.48725,11.24997,11.27852,11.35631
87,9.30466,9.34309,7.65282,8.04109,8.07362
88,9.35857,8.93809,10.32640,10.44731,10.62875
89,9.41531,8.78106,11.02433,11.07544,11.20974
90,9.47492,9.55921,9.55921,9.75683,9.91413
91,9.53743,9.20733,9.20733,9.44015,9.57530
92,9.60289,9.87271,9.87271,10.03898,10.09810
93,9.67133,9.28331,9.28331,9.50853,9.57678
94,9.74277,9.26935,9.26935,9.49596,9.43379
95,9.81726,8.81015,8.81015,9.08268,9.13622
96,9.89481,10.08608,10.08608,10.23102,10.14036
97,9.97545,10.11434,10.11434,10.25646,10.17697
98,10.05920,10.69408,10.69408,10.77822,10.79464
99,10.14608,10.40706,10.40706,10.51991,10.43860
100,10.23611,9.43565,9.43565,9.64563,9.51635
101,10.32930,11.08655,7.52006,7.92160,8.06242
102,10.42566,10.87231,7.34611,7.76505,7.83420
103,10.52520,9.95379,14.02016,13.77170,13.73634
104,10.62791,10.22995,6.33740,6.85721,6.89630
105,10.73381,11.06824,11.06824,11.11497,10.97880
106,10.84290,10.40043,10.40043,10.51394,10.59747
107,10.95515,10.40056,10.40056,10.51405,10.40712
108,11.07058,10.92534,10.92534,10.98636,11.01722
109,11.18916,11.62746,8.85141,9.11982,9.19934
110,11.31088,11.19502,8.23470,8.56478,8.68397
111,11.43573,11.26349,13.25766,13.08544,13.23491
112,11.56369,11.23733,11.23733,11.26714,11.42032
113,11.69472,11.37858,11.37858,11.39428,11.52273
114,11.82881,11.75768,11.75768,11.73547,11.80157
115,11.96592,11.70650,11.70650,11.68940,11.85165
116,12.10602,11.72081,11.72081,11.70227,11.77343
117,12.24907,12.46443,12.46443,12.37153,12.52825
118,12.39503,12.67327,12.67327,12.55949,12.63011
119,12.54386,11.52321,11.52321,11.52443,11.61187
120,12.69552,13.36554,13.36554,13.18254,13.25283
121,12.84994,12.38016,12.38016,12.29570,12.47558
122,13.00709,12.99286,12.99286,12.84712,12.96806
123,13.16689,13.18275,13.18275,13.01802,12.91468
124,13.32930,12.81153,12.81153,12.68393,12.64455
125,13.49425,12.35151,12.35151,12.26991,12.23925
126,13.66167,13.66166,13.66166,13.44904,13.34447
127,13.83150,14.12500,14.12500,13.86605,13.77834
128,14.00367,13.83297,13.83297,13.60322,13.45894
129,14.17810,13.55101,12.35465,12.27273,12.20177
130,14.35471,13.89232,11.42206,11.43340,11.35301
131,14.53342,14.25295,12.55651,12.45441,12.44492
132,14.71416,13.96999,13.96999,13.72654,13.60878
133,14.89683,15.41954,15.41954,15.03113,15.19018
134,15.08134,14.73074,14.73074,14.41122,14.25719
135,15.26761,13.85332,13.85332,13.62154,13.73162
136,15.45554,13.69391,13.69391,13.47806,13.56075
137,15.64504,15.45820,17.63536,17.02537,16.97248
138,15.83601,15.77577,18.59626,17.89019,17.84936
139,16.02834,15.96415,14.20040,13.93391,13.73855
