day2024,temp_warming,temp_warming_noise,temp_warming_noise_extreme,temp_warming_noise_extreme_inertia,temp_warming_noise_extreme_inertia_currents
102,9.12566,8.46645,5.27284,5.95997,6.12235
103,9.22520,9.75407,13.46161,13.32986,13.30910
104,9.32791,9.11093,5.19025,5.88563,5.74788
105,9.43381,9.53320,9.53320,9.79429,9.93183
106,9.54290,9.60416,9.60416,9.85815,10.03579
107,9.65515,9.52568,9.52568,9.78752,9.72242
108,9.77058,9.95697,9.95697,10.17569,9.98478
109,9.88916,9.55562,5.51226,6.17544,6.33170
110,10.01088,10.10890,13.29549,13.18035,13.26063
111,10.13573,10.41265,17.32223,16.80441,16.64005
112,10.26369,10.43623,12.70656,12.65031,12.46496
113,10.39472,11.92554,14.39989,14.17431,14.21522
114,10.52881,10.64025,10.64025,10.79063,10.61136
115,10.66592,10.83108,10.83108,10.96238,11.01793
116,10.80602,9.26335,9.26335,9.55143,9.53462
117,10.94907,11.03954,11.03954,11.14999,11.22876
118,11.09503,10.35648,10.35648,10.53524,10.46122
119,11.24386,11.21976,11.21976,11.31220,11.11690
120,11.39552,12.17245,12.17245,12.16962,12.15406
121,11.54994,11.81307,11.81307,11.84617,11.74545
122,11.70709,12.10502,12.10502,12.10893,12.14247
123,11.86689,12.65683,12.65683,12.60556,12.52524
124,12.02930,12.96272,12.96272,12.88086,12.87300
125,12.19425,12.47498,12.47498,12.44189,12.24207
126,12.36167,12.21445,12.21445,12.20741,12.31975
127,12.53150,13.39949,13.39949,13.27395,13.26601
128,12.70367,13.02449,13.02449,12.93645,12.77799
129,12.87810,12.45944,12.45944,12.42791,12.37256
130,13.05471,13.05527,14.05728,13.86596,13.68820
131,13.23342,13.38193,11.40235,11.47652,11.66667
132,13.41416,13.92535,12.29557,12.28042,12.45174
133,13.59683,14.07463,14.07463,13.88158,13.99958
134,13.78134,13.96491,13.96491,13.78283,13.67845
135,13.96761,14.77599,11.80443,11.83840,11.77953
136,14.15554,14.40180,16.39787,15.97249,16.14777
137,14.34504,15.48355,12.86632,12.79409,12.87663
138,14.53601,15.83193,18.24530,17.63518,17.52355
139,14.72834,14.98437,16.46906,16.03657,16.02445
140,14.92194,15.00260,16.02470,15.63664,15.45427
141,15.11670,15.56721,17.12765,16.62930,16.60582
142,15.31251,16.16903,17.30905,16.79255,16.92575
143,15.50927,15.67208,17.18271,16.67885,16.66429
144,15.70686,16.19808,16.19808,15.79268,15.98057
145,15.90517,16.97647,16.97647,16.49323,16.31440
146,16.10409,17.16501,17.16501,16.66292,16.83091
147,16.30350,15.97718,15.97718,15.59387,15.55521
148,16.50329,16.46916,16.46916,16.03666,16.07331
149,16.70333,17.41618,17.41618,16.88897,17.05719
150,16.90351,16.84568,16.84568,16.37552,16.42467
151,17.10370,18.88002,18.88002,18.20643,18.28765
152,17.30379,17.60267,17.60267,17.05681,16.89855
153,17.50365,18.37560,18.37560,17.75245,17.79136
154,17.70315,17.51100,17.51100,16.97431,16.88001
155,17.90218,17.87579,17.87579,17.30262,17.26688
156,18.10061,18.93708,18.93708,18.25778,18.22606
157,18.29831,17.64026,17.64026,17.09064,17.14149
158,18.49516,18.79968,18.79968,18.13412,18.25237
159,18.69103,19.20407,19.20407,18.49807,18.48517
160,18.88579,19.41681,19.41681,18.68954,18.60301
161,19.07932,19.25132,19.25132,18.54060,18.59712
162,19.27150,20.08520,20.08520,19.29109,19.39912
163,19.46219,20.15986,20.15986,19.35829,19.40932
164,19.65128,19.50011,19.50011,18.76451,18.60080
165,19.83863,19.55953,19.55953,18.81798,18.95331
166,20.02413,20.89297,20.89297,20.01808,19.90974
167,20.20765,19.71938,19.71938,18.96185,18.96105
168,20.38906,21.31345,21.31345,20.39651,20.53370
169,20.56825,21.27869,21.27869,20.36523,20.40117
170,20.74509,20.49279,19.43236,18.70354,18.78936
171,20.91947,20.76695,23.62955,22.48101,22.56479
172,21.09126,22.43522,19.70244,18.94660,18.83431
173,21.26035,22.53582,22.53582,21.49664,21.36499
174,21.42663,21.85943,21.85943,20.88789,20.84981
175,21.58998,22.57380,22.57380,21.53083,21.41401
176,21.75028,22.73560,22.73560,21.67645,21.78674
177,21.90744,21.92543,21.92543,20.94729,20.99347
178,22.06133,22.45677,22.45677,21.42550,21.37626
179,22.21186,22.50659,22.50659,21.47034,21.53955
180,22.35892,21.40381,21.40381,20.47784,20.38566
181,22.50240,22.47647,22.47647,21.44323,21.52193
182,22.64222,23.09141,23.09141,21.99667,22.19399
183,22.77827,22.81314,22.81314,21.74624,21.57048
184,22.91046,23.61830,23.61830,22.47088,22.31432
185,23.03869,23.69994,23.69994,22.54435,22.35756
186,23.16288,22.55920,22.55920,21.51769,21.48296
187,23.28294,24.43889,24.43889,23.20941,23.11791
188,23.39879,23.32642,23.32642,22.20819,22.37838
189,23.51035,23.33938,23.33938,22.21985,22.14698
190,23.61754,23.75154,23.75154,22.59079,22.48270
191,23.72029,23.28346,23.28346,22.16953,22.34665
192,23.81852,23.29432,23.29432,22.17930,22.08994
193,23.91217,25.02424,25.02424,23.73623,23.80637
194,24.00118,24.89119,24.89119,23.61648,23.50907
195,24.08548,24.28405,24.28405,23.07006,23.01746
196,24.16501,24.48635,24.48635,23.25213,23.23880
197,24.23973,24.87410,24.87410,23.60109,23.45754
198,24.30959,23.95344,23.95344,22.77251,22.68810
199,24.37453,24.47953,24.47953,23.24599,23.26202
200,24.43451,23.97850,23.97850,22.79506,22.79416
201,24.48950,24.23697,24.23697,23.02768,22.93466
202,24.53945,25.00572,25.00572,23.71956,23.66626
203,24.58435,24.27571,24.27571,23.06255,22.98874
204,24.62415,24.71830,24.71830,23.46088,23.31828
205,24.65884,24.87204,24.87204,23.59924,23.74076
206,24.68839,25.25938,25.25938,23.94785,24.01183
207,24.71279,25.10528,25.10528,23.80916,23.89396
208,24.73203,25.16190,25.16190,23.86012,23.71948
209,24.74610,25.37238,25.37238,24.04955,24.17043
210,24.75499,25.49460,25.49460,24.15955,24.30196
211,24.75871,24.93821,24.93821,23.65880,23.58846
212,24.75725,24.60345,24.60345,23.35752,23.37833
213,24.75062,24.40335,22.94680,21.86653,21.81536
214,24.73884,25.43315,23.49001,22.35541,22.19459
215,24.72192,25.02603,22.23471,21.22565,21.09422
216,24.69988,25.69937,25.69937,24.34384,24.25546
217,24.67274,24.91767,24.91767,23.64031,23.44227
218,24.64052,25.39335,26.71593,25.25874,25.22576
219,24.60326,25.15396,22.56211,21.52031,21.52038
220,24.56100,26.10303,23.90963,22.73308,22.85165
221,24.51376,24.57028,24.57028,23.32766,23.22384
222,24.46159,24.94276,24.94276,23.66289,23.49888
223,24.40454,25.16026,25.16026,23.85864,23.85380
224,24.34265,25.42594,25.42594,24.09776,24.16172
225,24.27597,24.45768,24.45768,23.22632,23.35814
226,24.20457,24.26663,24.26663,23.05437,23.08672
227,24.12850,24.36822,24.36822,23.14581,23.02024
228,24.04781,24.45002,24.45002,23.21943,23.26160
229,23.96259,25.67882,25.67882,24.32534,24.49107
