file_name,date,predicted_temperature,x,y
evian.csv,27/07/2023,20.554799999999886,6.606,46.403
bouveret.csv,27/07/2023,21.166549999999916,6.857,46.388
geneve.csv,27/07/2023,22.24249999999995,6.158,46.208
versoix.csv,27/07/2023,21.39308749999998,6.172,46.276
rolle.csv,27/07/2023,20.953312499999925,6.337,46.451
yvoire.csv,27/07/2023,21.053287500000124,6.323,46.372
saint-sulpice.csv,27/07/2023,21.038250000000062,6.54,46.506
morges.csv,27/07/2023,20.6940625000002,6.499,46.506
lugrin.csv,27/07/2023,20.484312499999987,6.66,46.405
nyon.csv,27/07/2023,20.749300000000062,6.241,46.378
thonon.csv,27/07/2023,20.797900000000027,6.476,46.376
villeneuve.csv,27/07/2023,21.223649999999907,6.92,46.398
hermance.csv,27/07/2023,21.640537499999994,6.241,46.301
lutry.csv,27/07/2023,20.48963750000007,6.686,46.5
vevey.csv,27/07/2023,20.652999999999793,6.851,46.456
